0,	0,	10,
0.0000476190476190476,	0.00952380952380953,	10,
0.000214285714285714,	0.0238095238095238,	10,
0.000547619047619048,	0.0428571428571429,	10,
0.0010952380952381,	0.0666666666666667,	10,
0.0019047619047619,	0.0952380952380952,	10,
0.00302380952380952,	0.128571428571429,	10,
0.0045,	0.166666666666667,	10,
0.00638095238095238,	0.20952380952381,	10,
0.00871428571428571,	0.257142857142857,	10,
0.011547619047619,	0.30952380952381,	10,
0.0149285714285714,	0.366666666666667,	10,
0.0189047619047619,	0.428571428571429,	10,
0.0235238095238095,	0.495238095238095,	10,
0.0288333333333333,	0.566666666666667,	10,
0.0348809523809524,	0.642857142857143,	10,
0.0417142857142857,	0.723809523809524,	10,
0.0493809523809524,	0.80952380952381,	10,
0.0579285714285714,	0.9,	10,
0.0674047619047619,	0.995238095238096,	10,
0.0778571428571429,	1.0952380952381,	10,
0.0893095238095238,	1.1952380952381,	10,
0.101761904761905,	1.2952380952381,	10,
0.115214285714286,	1.3952380952381,	10,
0.129666666666667,	1.4952380952381,	10,
0.145119047619048,	1.5952380952381,	10,
0.161571428571429,	1.6952380952381,	10,
0.17902380952381,	1.7952380952381,	10,
0.19747619047619,	1.8952380952381,	10,
0.216928571428571,	1.9952380952381,	10,
0.237380952380952,	2.0952380952381,	10,
0.258833333333333,	2.1952380952381,	10,
0.281285714285714,	2.2952380952381,	10,
0.304738095238095,	2.3952380952381,	10,
0.329190476190476,	2.4952380952381,	10,
0.354642857142857,	2.5952380952381,	10,
0.381095238095238,	2.6952380952381,	10,
0.408547619047619,	2.7952380952381,	10,
0.437,	2.8952380952381,	10,
0.466452380952381,	2.9952380952381,	10,
0.496904761904762,	3.0952380952381,	10,
0.528309523809524,	3.18571428571429,	10,
0.560595238095238,	3.27142857142857,	10,
0.593714285714286,	3.35238095238095,	10,
0.627619047619048,	3.42857142857143,	10,
0.662261904761905,	3.5,	10,
0.697595238095238,	3.56666666666667,	10,
0.733571428571429,	3.62857142857143,	10,
0.770142857142857,	3.68571428571429,	10,
0.807261904761905,	3.73809523809524,	10,
0.844880952380952,	3.78571428571429,	10,
0.882904761904762,	3.81904761904762,	10,
0.921214285714286,	3.84285714285714,	10,
0.959714285714286,	3.85714285714286,	10,
0.998309523809524,	3.86190476190476,	10,
1.03690476190476,	3.85714285714286,	10,
1.07540476190476,	3.84285714285714,	10,
1.11371428571429,	3.81904761904762,	10,
1.1517380952381,	3.78571428571429,	10,
1.18938095238095,	3.74285714285714,	10,
1.22654761904762,	3.69047619047619,	10,
1.26316666666667,	3.63333333333333,	10,
1.29919047619048,	3.57142857142857,	10,
1.33457142857143,	3.5047619047619,	10,
1.3692619047619,	3.43333333333333,	10,
1.40321428571429,	3.35714285714286,	10,
1.43638095238095,	3.27619047619048,	10,
1.46871428571429,	3.19047619047619,	10,
1.50016666666667,	3.1,	10,
1.53069047619048,	3.0047619047619,	10,
1.5602380952381,	2.9047619047619,	10,
1.58878571428571,	2.8047619047619,	10,
1.61633333333333,	2.7047619047619,	10,
1.64288095238095,	2.6047619047619,	10,
1.66842857142857,	2.5047619047619,	10,
1.69297619047619,	2.4047619047619,	10,
1.71652380952381,	2.3047619047619,	10,
1.73907142857143,	2.2047619047619,	10,
1.76061904761905,	2.1047619047619,	10,
1.78116666666667,	2.0047619047619,	10,
1.80071428571428,	1.9047619047619,	10,
1.8192619047619,	1.8047619047619,	10,
1.83680952380952,	1.7047619047619,	10,
1.85335714285714,	1.6047619047619,	10,
1.86890476190476,	1.5047619047619,	10,
1.88345238095238,	1.4047619047619,	10,
1.897,	1.3047619047619,	10,
1.90954761904762,	1.2047619047619,	10,
1.92109523809524,	1.1047619047619,	10,
1.93164285714286,	1.0047619047619,	10,
1.94119047619047,	0.904761904761903,	10,
1.94978571428571,	0.814285714285713,	10,
1.9575,	0.728571428571427,	10,
1.96438095238095,	0.647619047619046,	10,
1.97047619047619,	0.57142857142857,	10,
1.97583333333333,	0.499999999999998,	10,
1.9805,	0.433333333333332,	10,
1.98452380952381,	0.37142857142857,	10,
1.98795238095238,	0.314285714285713,	10,
1.99083333333333,	0.261904761904761,	10,
1.99321428571428,	0.214285714285713,	10,
1.99514285714286,	0.171428571428571,	10,
1.99666666666666,	0.133333333333333,	10,
1.99783333333333,	0.0999999999999993,	10,
1.99869047619047,	0.0714285714285708,	10,
1.99928571428571,	0.0476190476190472,	10,
1.99966666666667,	0.0285714285714282,	10,
1.99988095238095,	0.0142857142857141,	10,
1.99997619047619,	0.00476190476190465,	10,
2.,	0,	10
